Departamento;Sección;Canal
ARQ;ARQ;DIG
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
ARQ;ARQ;EVE
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
ARQ;ARQ;PRINT
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
CON;CON;DIG
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
CON;CON;EVE
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
CON;CON;PRINT
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
DEN;DEN;DIG
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
DEN;DEN;EVE
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
DEN;DEN;PRINT
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
DEP;DEP;DIG
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
DEP;DEP;EVE
;;
;;
;;
;;
;;
;;
DEP;DEP;GEN
;;
;;
;;
DEP;DEP;PRINT
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
EDU;EDU;DIG
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
EDU;EDU;PRINT
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
EVE;EVE;EVE
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
HOS;HOST;DIG
;;
;;
;;
;;
;;
;;
;;
;;
;;
HOS;HOST;PRINT
;;
;;
;;
;;
;;
;;
;;
;;
;;
HOS;MARH;DIG
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
HOS;MARH;EVE
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
HOS;MARH;GEN
;;
;;
;;
HOS;MARH;PRINT
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
HOS;RES;DIG
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
HOS;RES;EVE
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
HOS;RES;PRINT
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
INT;GEN;GEN
;;
;;
;;
;;
;;
KAU;PECK;DIG
;;
;;
;;
;;
;;
;;
;;
;;
;;
PEL;GEN;DIG
;;
;;
;;
PEL;GEN;GEN
;;
;;
;;
;;
;;
;;
PEL;GEN;PRINT
;;
;;
;;
;;
;;
SEG;SEG;DIG
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
SEG;SEG;EVE
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
SEG;SEG;GEN
;;
;;
;;
SEG;SEG;PRINT
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
TUR;CAM;DIG
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
TUR;CAM;EVE
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
TUR;CAM;GEN
;;
;;
;;
TUR;CAM;PRINT
;;
;;
;;
;;
;;
;;
;;
TUR;CAR;DIG
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
TUR;CAR;EVE
;;
;;
;;
TUR;CAR;PRINT
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
TUR;CPROF;DIG
;;
;;
;;
;;
;;
;;
;;
;;
;;
TUR;CPROF;PRINT
